,Area name,Area code,Area type,Reporting date,Daily change in deaths,Cumulative deaths
227,Northern Ireland,N92000002,Nation,2020-04-21,13.0,207
228,United Kingdom,K02000001,UK,2020-04-21,1172.0,20223
229,England,E92000001,Nation,2020-04-21,1122.0,18492
230,Wales,W92000004,Nation,2020-04-20,9.0,584
231,Scotland,S92000003,Nation,2020-04-20,10.0,903
232,Northern Ireland,N92000002,Nation,2020-04-20,1.0,194
233,United Kingdom,K02000001,UK,2020-04-20,559.0,19051
234,England,E92000001,Nation,2020-04-20,539.0,17370
235,Wales,W92000004,Nation,2020-04-19,41.0,575
236,Scotland,S92000003,Nation,2020-04-19,56.0,893
237,Northern Ireland,N92000002,Nation,2020-04-19,17.0,193
238,United Kingdom,K02000001,UK,2020-04-19,498.0,18492
239,England,E92000001,Nation,2020-04-19,384.0,16831
240,Wales,W92000004,Nation,2020-04-18,28.0,534
241,Scotland,S92000003,Nation,2020-04-18,58.0,837
242,Northern Ireland,N92000002,Nation,2020-04-18,18.0,176
243,United Kingdom,K02000001,UK,2020-04-18,1115.0,17994
244,England,E92000001,Nation,2020-04-18,1011.0,16447
245,Wales,W92000004,Nation,2020-04-17,11.0,506
246,Scotland,S92000003,Nation,2020-04-17,80.0,779
247,Northern Ireland,N92000002,Nation,2020-04-17,18.0,158
248,United Kingdom,K02000001,UK,2020-04-17,935.0,16879
249,England,E92000001,Nation,2020-04-17,826.0,15436
250,Wales,W92000004,Nation,2020-04-16,32.0,495
251,Scotland,S92000003,Nation,2020-04-16,84.0,699
252,Northern Ireland,N92000002,Nation,2020-04-16,6.0,140
253,United Kingdom,K02000001,UK,2020-04-16,1029.0,15944
254,England,E92000001,Nation,2020-04-16,907.0,14610
255,Wales,W92000004,Nation,2020-04-15,60.0,463
256,Scotland,S92000003,Nation,2020-04-15,40.0,615
257,Northern Ireland,N92000002,Nation,2020-04-15,10.0,134
258,United Kingdom,K02000001,UK,2020-04-15,842.0,14915
259,England,E92000001,Nation,2020-04-15,732.0,13703
260,Wales,W92000004,Nation,2020-04-14,19.0,403
261,Scotland,S92000003,Nation,2020-04-14,9.0,575
262,Northern Ireland,N92000002,Nation,2020-04-14,6.0,124
263,United Kingdom,K02000001,UK,2020-04-14,1044.0,14073
264,England,E92000001,Nation,2020-04-14,1010.0,12971
265,Wales,W92000004,Nation,2020-04-13,15.0,384
266,Scotland,S92000003,Nation,2020-04-13,24.0,566
267,Northern Ireland,N92000002,Nation,2020-04-13,11.0,118
268,United Kingdom,K02000001,UK,2020-04-13,744.0,13029
269,England,E92000001,Nation,2020-04-13,694.0,11961
270,Wales,W92000004,Nation,2020-04-12,18.0,369
271,Scotland,S92000003,Nation,2020-04-12,47.0,542
272,Northern Ireland,N92000002,Nation,2020-04-12,15.0,107
273,United Kingdom,K02000001,UK,2020-04-12,686.0,12285
274,England,E92000001,Nation,2020-04-12,606.0,11267
275,Wales,W92000004,Nation,2020-04-11,36.0,351
276,Scotland,S92000003,Nation,2020-04-11,48.0,495
277,Northern Ireland,N92000002,Nation,2020-04-11,10.0,92
278,United Kingdom,K02000001,UK,2020-04-11,839.0,11599
279,England,E92000001,Nation,2020-04-11,745.0,10661
280,Wales,W92000004,Nation,2020-04-10,29.0,315
281,Scotland,S92000003,Nation,2020-04-10,81.0,447
282,Northern Ireland,N92000002,Nation,2020-04-10,4.0,82
283,United Kingdom,K02000001,UK,2020-04-10,1152.0,10760
284,England,E92000001,Nation,2020-04-10,1038.0,9916
285,Wales,W92000004,Nation,2020-04-09,41.0,286
286,Scotland,S92000003,Nation,2020-04-09,70.0,366
287,Northern Ireland,N92000002,Nation,2020-04-09,5.0,78
288,United Kingdom,K02000001,UK,2020-04-09,1103.0,9608
289,England,E92000001,Nation,2020-04-09,987.0,8878
290,Wales,W92000004,Nation,2020-04-08,33.0,245
291,Scotland,S92000003,Nation,2020-04-08,74.0,296
292,Northern Ireland,N92000002,Nation,2020-04-08,3.0,73
293,United Kingdom,K02000001,UK,2020-04-08,1034.0,8505
294,England,E92000001,Nation,2020-04-08,924.0,7891
295,Wales,W92000004,Nation,2020-04-07,19.0,212
296,Scotland,S92000003,Nation,2020-04-07,2.0,222
297,Northern Ireland,N92000002,Nation,2020-04-07,7.0,70
298,United Kingdom,K02000001,UK,2020-04-07,1038.0,7471
299,England,E92000001,Nation,2020-04-07,1010.0,6967
300,Wales,W92000004,Nation,2020-04-06,27.0,193
301,Scotland,S92000003,Nation,2020-04-06,2.0,220
302,Northern Ireland,N92000002,Nation,2020-04-06,7.0,63
303,United Kingdom,K02000001,UK,2020-04-06,568.0,6433
304,England,E92000001,Nation,2020-04-06,532.0,5957
305,Wales,W92000004,Nation,2020-04-05,12.0,166
306,Scotland,S92000003,Nation,2020-04-05,46.0,218
307,Northern Ireland,N92000002,Nation,2020-04-05,8.0,56
308,United Kingdom,K02000001,UK,2020-04-05,644.0,5865
309,England,E92000001,Nation,2020-04-05,578.0,5425
310,Wales,W92000004,Nation,2020-04-04,13.0,154
311,Scotland,S92000003,Nation,2020-04-04,46.0,172
312,Northern Ireland,N92000002,Nation,2020-04-04,12.0,48
313,United Kingdom,K02000001,UK,2020-04-04,760.0,5221
314,England,E92000001,Nation,2020-04-04,689.0,4847
315,Wales,W92000004,Nation,2020-04-03,24.0,141
316,Scotland,S92000003,Nation,2020-04-03,29.0,126
317,Northern Ireland,N92000002,Nation,2020-04-03,6.0,36
318,United Kingdom,K02000001,UK,2020-04-03,714.0,4461
319,England,E92000001,Nation,2020-04-03,655.0,4158
320,Wales,W92000004,Nation,2020-04-02,19.0,117
321,Scotland,S92000003,Nation,2020-04-02,28.0,97
322,Northern Ireland,N92000002,Nation,2020-04-02,2.0,30
323,United Kingdom,K02000001,UK,2020-04-02,652.0,3747
324,England,E92000001,Nation,2020-04-02,603.0,3503
325,Wales,W92000004,Nation,2020-04-01,29.0,98
326,Scotland,S92000003,Nation,2020-04-01,22.0,69
327,Northern Ireland,N92000002,Nation,2020-04-01,6.0,28
328,United Kingdom,K02000001,UK,2020-04-01,670.0,3095
329,England,E92000001,Nation,2020-04-01,613.0,2900
330,Wales,W92000004,Nation,2020-03-31,7.0,69
331,Scotland,S92000003,Nation,2020-03-31,6.0,47
332,Northern Ireland,N92000002,Nation,2020-03-31,1.0,22
333,United Kingdom,K02000001,UK,2020-03-31,382.0,2425
334,England,E92000001,Nation,2020-03-31,368.0,2287
335,Wales,W92000004,Nation,2020-03-30,14.0,62
336,Scotland,S92000003,Nation,2020-03-30,1.0,41
337,Northern Ireland,N92000002,Nation,2020-03-30,6.0,21
338,United Kingdom,K02000001,UK,2020-03-30,374.0,2043
339,England,E92000001,Nation,2020-03-30,353.0,1919
340,Wales,W92000004,Nation,2020-03-29,10.0,48
341,Scotland,S92000003,Nation,2020-03-29,7.0,40
342,Northern Ireland,N92000002,Nation,2020-03-29,2.0,15
343,United Kingdom,K02000001,UK,2020-03-29,214.0,1669
344,England,E92000001,Nation,2020-03-29,195.0,1566
345,Wales,W92000004,Nation,2020-03-28,4.0,38
346,Scotland,S92000003,Nation,2020-03-28,8.0,33
347,Northern Ireland,N92000002,Nation,2020-03-28,3.0,13
348,United Kingdom,K02000001,UK,2020-03-28,294.0,1455
349,England,E92000001,Nation,2020-03-28,279.0,1371
350,Wales,W92000004,Nation,2020-03-27,6.0,34
351,Scotland,S92000003,Nation,2020-03-27,3.0,25
352,Northern Ireland,N92000002,Nation,2020-03-27,3.0,10
353,United Kingdom,K02000001,UK,2020-03-27,284.0,1161
354,England,E92000001,Nation,2020-03-27,272.0,1092
355,Wales,W92000004,Nation,2020-03-26,6.0,28
356,Scotland,S92000003,Nation,2020-03-26,6.0,22
357,Northern Ireland,N92000002,Nation,2020-03-26,2.0,7
358,United Kingdom,K02000001,UK,2020-03-26,183.0,877
359,England,E92000001,Nation,2020-03-26,169.0,820
360,Wales,W92000004,Nation,2020-03-25,5.0,22
361,Scotland,S92000003,Nation,2020-03-25,2.0,16
362,Northern Ireland,N92000002,Nation,2020-03-25,2.0,5
363,United Kingdom,K02000001,UK,2020-03-25,186.0,694
364,England,E92000001,Nation,2020-03-25,177.0,651
365,Wales,W92000004,Nation,2020-03-24,1.0,17
366,Scotland,S92000003,Nation,2020-03-24,4.0,14
367,Northern Ireland,N92000002,Nation,2020-03-24,1.0,3
368,United Kingdom,K02000001,UK,2020-03-24,149.0,508
369,England,E92000001,Nation,2020-03-24,143.0,474
370,Wales,W92000004,Nation,2020-03-23,4.0,16
371,Scotland,S92000003,Nation,2020-03-23,3.0,10
372,Northern Ireland,N92000002,Nation,2020-03-23,0.0,2
373,United Kingdom,K02000001,UK,2020-03-23,74.0,359
374,England,E92000001,Nation,2020-03-23,67.0,331
375,Wales,W92000004,Nation,2020-03-22,9.0,12
376,Scotland,S92000003,Nation,2020-03-22,1.0,7
377,Northern Ireland,N92000002,Nation,2020-03-22,1.0,2
378,United Kingdom,K02000001,UK,2020-03-22,35.0,285
379,England,E92000001,Nation,2020-03-22,24.0,264
380,Wales,W92000004,Nation,2020-03-21,2.0,3
381,Scotland,S92000003,Nation,2020-03-21,0.0,6
382,Northern Ireland,N92000002,Nation,2020-03-21,0.0,1
383,United Kingdom,K02000001,UK,2020-03-21,56.0,250
384,England,E92000001,Nation,2020-03-21,54.0,240
385,Wales,W92000004,Nation,2020-03-20,0.0,1
386,Scotland,S92000003,Nation,2020-03-20,3.0,6
387,Northern Ireland,N92000002,Nation,2020-03-20,,1
388,United Kingdom,K02000001,UK,2020-03-20,36.0,194
389,England,E92000001,Nation,2020-03-20,32.0,186
390,Wales,W92000004,Nation,2020-03-19,0.0,1
391,Scotland,S92000003,Nation,2020-03-19,1.0,3
392,United Kingdom,K02000001,UK,2020-03-19,43.0,158
393,England,E92000001,Nation,2020-03-19,42.0,154
394,Wales,W92000004,Nation,2020-03-18,0.0,1
395,Scotland,S92000003,Nation,2020-03-18,1.0,2
396,United Kingdom,K02000001,UK,2020-03-18,34.0,115
397,England,E92000001,Nation,2020-03-18,33.0,112
398,Wales,W92000004,Nation,2020-03-17,,1
399,Scotland,S92000003,Nation,2020-03-17,0.0,1
400,United Kingdom,K02000001,UK,2020-03-17,16.0,81
401,England,E92000001,Nation,2020-03-17,15.0,79
402,Scotland,S92000003,Nation,2020-03-16,0.0,1
403,United Kingdom,K02000001,UK,2020-03-16,22.0,65
404,England,E92000001,Nation,2020-03-16,22.0,64
405,Scotland,S92000003,Nation,2020-03-15,,1
406,United Kingdom,K02000001,UK,2020-03-15,15.0,43
407,England,E92000001,Nation,2020-03-15,14.0,42
408,United Kingdom,K02000001,UK,2020-03-14,18.0,28
409,England,E92000001,Nation,2020-03-14,18.0,28
410,United Kingdom,K02000001,UK,2020-03-13,1.0,10
411,England,E92000001,Nation,2020-03-13,1.0,10
412,United Kingdom,K02000001,UK,2020-03-12,2.0,9
413,England,E92000001,Nation,2020-03-12,2.0,9
414,United Kingdom,K02000001,UK,2020-03-11,0.0,7
415,England,E92000001,Nation,2020-03-11,0.0,7
416,United Kingdom,K02000001,UK,2020-03-10,4.0,7
417,England,E92000001,Nation,2020-03-10,4.0,7
418,United Kingdom,K02000001,UK,2020-03-09,1.0,3
419,England,E92000001,Nation,2020-03-09,1.0,3
420,United Kingdom,K02000001,UK,2020-03-08,0.0,2
421,England,E92000001,Nation,2020-03-08,0.0,2
422,United Kingdom,K02000001,UK,2020-03-07,1.0,2
423,England,E92000001,Nation,2020-03-07,1.0,2
424,United Kingdom,K02000001,UK,2020-03-06,1.0,1
425,England,E92000001,Nation,2020-03-06,,1
